gene/TE	count	sample
"gene_10417"	1156	W12MR1
"gene_10418"	1141	W12MR1
"gene_10419"	1340	W12MR1
"gene_1042"	742	W12MR1
"gene_10420"	4	W12MR1
"gene_10421"	0	W12MR1
"gene_10422"	100	W12MR1
"gene_10423"	0	W12MR1
"gene_10424"	701	W12MR1
"gene_10425"	497	W12MR1
"gene_10426"	321	W12MR1
"gene_10427"	1385	W12MR1
"gene_10428"	3639	W12MR1
"gene_10429"	3755	W12MR1
"gene_1043"	4505	W12MR1
"gene_10430"	583	W12MR1
"gene_10431"	2970	W12MR1
"gene_10432"	615	W12MR1
"gene_10433"	203	W12MR1
"gene_10434"	2787	W12MR1
"gene_10435"	890	W12MR1
"gene_10436"	16973	W12MR1
"gene_10437"	1502	W12MR1
"gene_10438"	3	W12MR1
"gene_10439"	136	W12MR1
"gene_1044"	8149	W12MR1
"gene_10440"	0	W12MR1
"gene_10441"	46	W12MR1
"gene_10442"	2	W12MR1
"gene_10443"	17765	W12MR1
"gene_10444"	1356	W12MR1
"gene_10445"	13433	W12MR1
"gene_10446"	3132	W12MR1
"gene_10447"	488	W12MR1
"gene_10448"	72	W12MR1
"gene_10449"	2157	W12MR1
"gene_1045"	5230	W12MR1
"gene_10450"	13	W12MR1
"gene_10451"	540	W12MR1
"gene_10452"	239	W12MR1
"gene_10453"	0	W12MR1
"gene_10454"	319	W12MR1
"gene_10455"	8310	W12MR1
"gene_10456"	812	W12MR1
"gene_10457"	15	W12MR1
"gene_10458"	16769	W12MR1
"gene_10459"	8599	W12MR1
"gene_1046"	1835	W12MR1
"gene_10460"	7389	W12MR1
"gene_10461"	6521	W12MR1
"gene_10462"	65261	W12MR1
"gene_10463"	1793	W12MR1
"gene_10464"	27	W12MR1
"gene_10465"	6333	W12MR1
"gene_10466"	664	W12MR1
"gene_10467"	976	W12MR1
"gene_10468"	746	W12MR1
"gene_10469"	584	W12MR1
"gene_1047"	1669	W12MR1
"gene_10470"	544	W12MR1
"gene_10472"	1018	W12MR1
"gene_10473"	478	W12MR1
"gene_10474"	208	W12MR1
"gene_10475"	11191	W12MR1
"gene_10476"	11055	W12MR1
"gene_10477"	106	W12MR1
"gene_10478"	145	W12MR1
"gene_10479"	2	W12MR1
"gene_1048"	910	W12MR1
"gene_10480"	269	W12MR1
"gene_10481"	2726	W12MR1
"gene_10483"	337	W12MR1
"gene_10484"	1603	W12MR1
"gene_10485"	1270	W12MR1
"gene_10486"	4363	W12MR1
"gene_10487"	371	W12MR1
"gene_10488"	28052	W12MR1
"gene_10489"	230	W12MR1
"gene_1049"	51	W12MR1
"gene_10490"	2383	W12MR1
"gene_10491"	1495	W12MR1
"gene_10492"	2515	W12MR1
"gene_10493"	170	W12MR1
"gene_10494"	86456	W12MR1
"gene_10495"	713	W12MR1
"gene_10496"	2284	W12MR1
"gene_10497"	1524	W12MR1
"gene_10498"	2035	W12MR1
"gene_10499"	4143	W12MR1
"gene_105"	2	W12MR1
"gene_1050"	389	W12MR1
"gene_10500"	1734	W12MR1
"gene_10501"	28300	W12MR1
"gene_10502"	368	W12MR1
"gene_10503"	332	W12MR1
"gene_10504"	1612	W12MR1
"gene_10505"	1765	W12MR1
"gene_10507"	3066	W12MR1
"gene_10508"	181	W12MR1
"gene_10509"	2078	W12MR1
"gene_1051"	4329	W12MR1
"gene_10510"	1270	W12MR1
"gene_10511"	6872	W12MR1
"gene_10512"	3071	W12MR1
"gene_10513"	5623	W12MR1
"gene_10514"	1680	W12MR1
"gene_10515"	424	W12MR1
"gene_10516"	2187	W12MR1
"gene_10517"	2075	W12MR1
"gene_10518"	376	W12MR1
"gene_10519"	26383	W12MR1
"gene_1052"	4680	W12MR1
"gene_10520"	436987	W12MR1
"gene_10521"	30886	W12MR1
"gene_10523"	7015	W12MR1
"gene_10524"	143	W12MR1
"gene_10525"	651	W12MR1
"gene_10526"	442	W12MR1
"gene_10527"	12	W12MR1
"gene_10528"	3171	W12MR1
"gene_10529"	2210	W12MR1
"gene_1053"	1054	W12MR1
"gene_10530"	8357	W12MR1
"gene_10531"	2530	W12MR1
"gene_10532"	2320	W12MR1
"gene_10533"	2593	W12MR1
"gene_10534"	8200	W12MR1
"gene_10535"	59173	W12MR1
"gene_10536"	105	W12MR1
"gene_10537"	8878	W12MR1
"gene_10538"	4297	W12MR1
"gene_10539"	574	W12MR1
"gene_1054"	5591	W12MR1
"gene_10540"	1730	W12MR1
"gene_10541"	489	W12MR1
"gene_10542"	1380	W12MR1
"gene_10543"	1321	W12MR1
"gene_10544"	1099	W12MR1
"gene_10545"	1581	W12MR1
"gene_10546"	357	W12MR1
"gene_10547"	1415	W12MR1
"gene_10549"	23	W12MR1
"gene_1055"	6398	W12MR1
"gene_10551"	26	W12MR1
"gene_10552"	6216	W12MR1
"gene_10553"	28265	W12MR1
"gene_10554"	8972	W12MR1
"gene_10555"	5471	W12MR1
"gene_10556"	2189	W12MR1
"gene_10557"	411	W12MR1
"gene_10558"	14166	W12MR1
"gene_10559"	82463	W12MR1
"gene_1056"	739	W12MR1
"gene_10560"	152	W12MR1
"gene_10561"	275	W12MR1
"gene_10562"	3250	W12MR1
"gene_10563"	1962	W12MR1
"gene_10564"	18357	W12MR1
"gene_10565"	8464	W12MR1
"gene_10566"	28	W12MR1
